nohup: ignoring input
Setting GPU: 3
Running on: [RocmDevice(id=0)]
Ablations: ['baseline', 'no_logsumexp_init', 'fewer_inner_steps_500', 'more_inner_steps_4000', 'inner_lr_5e-2', 'inner_lr_1e-3', 'logsumexp_gamma_1', 'logsumexp_gamma_0.01', 'logsumexp_gamma_0.001', 'no_adam', 'landmarks_fps', 'landmarks_32', 'landmarks_64', 'landmarks_256', 'hidden_32_32', 'hidden_64_64', 'hidden_256_256', 'hidden_128_128_128', 'lr_1e-4', 'batch_512', 'batch_128']
Manifolds: ['T2']

======================================================================
MANIFOLD: T2
======================================================================

[T2] Ablation: baseline
[   184] loss=-2.2574 | res=3.17e-02 | grad=3.26e-01 | 1.0s
[   185] loss=-2.4426 | res=2.67e-02 | grad=4.51e-01 | 1.0s
[   186] loss=-2.4232 | res=2.86e-02 | grad=3.84e-01 | 1.1s
[   187] loss=-2.4678 | res=3.61e-02 | grad=3.26e-01 | 1.0s
[   188] loss=-2.2680 | res=3.43e-02 | grad=1.14e+00 | 1.0s
[   189] loss=-2.3317 | res=2.41e-02 | grad=3.12e-01 | 1.0s
[   190] loss=-2.3192 | res=2.19e-02 | grad=3.21e-01 | 1.1s
[   191] loss=-2.4541 | res=2.49e-02 | grad=6.81e-01 | 1.1s
[   192] loss=-2.3048 | res=2.90e-02 | grad=7.44e-01 | 1.1s
[   193] loss=-2.3044 | res=2.84e-02 | grad=5.46e-01 | 1.1s
[   194] loss=-2.3580 | res=2.55e-02 | grad=1.03e+00 | 1.1s
[   195] loss=-2.1908 | res=2.91e-02 | grad=5.90e-01 | 1.1s
[   196] loss=-2.3407 | res=2.00e-02 | grad=6.47e-01 | 1.1s
[   197] loss=-2.3487 | res=2.41e-02 | grad=7.93e-01 | 1.1s
[   198] loss=-2.4181 | res=2.14e-02 | grad=1.54e-01 | 1.1s
[   199] loss=-2.1906 | res=3.01e-02 | grad=1.05e+00 | 1.1s
[   200] loss=-2.3806 | res=2.53e-02 | grad=8.73e-01 | 1.1s
[   201] loss=-2.3173 | res=2.32e-02 | grad=5.68e-01 | 1.1s
[   202] loss=-2.4117 | res=2.32e-02 | grad=3.49e-01 | 1.1s
[   203] loss=-2.3795 | res=2.21e-02 | grad=3.68e-01 | 1.0s
