nohup: ignoring input
Running on: [RocmDevice(id=0)]
N_RUNS = 5
RCPM_GAMMA = 1.0
LANDMARK_METHOD = random
Manifolds: S2, T2

======================================================================
DEFAULT CONFIGURATION PARAMETERS (from src/base.py)
======================================================================

[ModelConfig]
  network_type:   mlp
  hidden_dims:    (128, 128)
  n_landmarks:    128
  use_layernorm:  True
  last_scale:     0.01
  activation:     silu
  leaky_slope:    0.01
  softplus_beta:  1
  max_dist:       3.14159

[SolverConfig]
  inner_steps:      2500
  inner_lr:         0.05
  grad_clip:        None
  lr_decay:         False
  tolerance:        1e-06
  min_steps:        1000
  momentum:         0.0
  logsumexp_init:   True
  logsumexp_gamma:  0.1
  use_adam:         True
  adam_beta1:       0.9
  adam_beta2:       0.999

[TrainingConfig]
  n_steps:        1000
  batch_size:     256
  learning_rate:  0.001
  lr_decay:       False
  lr_decay_alpha: 0.05
  log_every:      1
  eval_every:     None
  eval_size:      1024
  seed:           12345

======================================================================


======================================================================
MANIFOLD: S2
======================================================================

[Ours] Running 5 independent training runs...

  --- Run 1/5 (seed=12345) ---
[   135] loss=-0.7268 | res=6.04e-04 | grad=7.64e-01 | 1.1s
[   136] loss=-0.8230 | res=2.45e-04 | grad=6.96e-01 | 1.1s
[   137] loss=-0.7340 | res=1.14e-04 | grad=5.36e-01 | 1.1s
[   138] loss=-0.8203 | res=2.18e-04 | grad=4.42e-01 | 1.1s
[   139] loss=-0.8883 | res=8.86e-05 | grad=5.08e-01 | 1.1s
[   140] loss=-0.8076 | res=3.92e-04 | grad=4.24e-01 | 1.1s
[   141] loss=-0.8648 | res=2.91e-04 | grad=3.60e-01 | 1.1s
[   142] loss=-0.7701 | res=6.57e-04 | grad=2.66e-01 | 1.1s
[   143] loss=-0.7969 | res=1.69e-04 | grad=5.73e-01 | 1.1s
[   144] loss=-0.8992 | res=3.67e-04 | grad=3.03e-01 | 1.1s
[   145] loss=-0.8916 | res=4.10e-04 | grad=4.62e-01 | 1.1s
[   146] loss=-0.9246 | res=8.51e-04 | grad=5.84e-01 | 1.1s
[   147] loss=-0.8908 | res=6.57e-05 | grad=4.26e-01 | 1.1s
[   148] loss=-0.7584 | res=2.02e-05 | grad=3.46e-01 | 1.1s
[   149] loss=-0.7822 | res=3.04e-04 | grad=6.10e-01 | 1.1s
[   150] loss=-0.8379 | res=4.14e-04 | grad=2.21e-01 | 1.1s
[   151] loss=-0.7798 | res=1.17e-03 | grad=3.28e-01 | 1.1s
[   152] loss=-0.8428 | res=6.87e-04 | grad=6.06e-01 | 1.1s
[   153] loss=-0.8305 | res=8.13e-04 | grad=2.99e-01 | 1.1s
[   154] loss=-0.7605 | res=2.04e-04 | grad=5.02e-01 | 1.1s
[   155] loss=-0.7137 | res=3.75e-04 | grad=4.77e-01 | 1.1s
[   156] loss=-0.7842 | res=5.66e-04 | grad=4.25e-01 | 1.1s
[   157] loss=-0.8241 | res=3.67e-04 | grad=2.31e-01 | 1.1s
[   158] loss=-0.7711 | res=6.55e-04 | grad=1.81e-01 | 1.1s
[   159] loss=-0.9085 | res=4.62e-04 | grad=5.02e-01 | 1.1s
[   160] loss=-0.7201 | res=5.14e-04 | grad=5.48e-01 | 1.1s
[   161] loss=-0.8624 | res=3.38e-04 | grad=3.68e-01 | 1.1s
[   162] loss=-0.7871 | res=3.39e-05 | grad=1.87e-01 | 1.1s
[   163] loss=-0.8555 | res=4.35e-04 | grad=5.06e-01 | 1.1s
[   164] loss=-0.8181 | res=3.91e-04 | grad=5.13e-01 | 1.1s
[   165] loss=-0.8304 | res=1.43e-04 | grad=3.75e-01 | 1.1s
[   166] loss=-0.8496 | res=6.39e-05 | grad=2.08e-01 | 1.1s
[   167] loss=-0.7370 | res=1.40e-04 | grad=4.44e-01 | 1.1s
[   168] loss=-0.8121 | res=3.66e-04 | grad=6.50e-01 | 1.1s
[   169] loss=-0.8065 | res=5.66e-04 | grad=1.50e-01 | 1.0s
[   170] loss=-0.8366 | res=6.29e-04 | grad=2.67e-01 | 1.0s
[   171] loss=-0.8059 | res=5.06e-04 | grad=5.15e-01 | 1.0s
[   172] loss=-0.8224 | res=1.07e-04 | grad=2.09e-01 | 1.0s
[   173] loss=-0.7710 | res=8.69e-04 | grad=1.77e-01 | 0.9s
