nohup: ignoring input
Running on: [RocmDevice(id=0)]
Running experiments on: sphere
Dimensions: [2, 5, 10, 20, 30, 40]
LANDMARK_METHOD = fps (candidates=4096)

======================================================================
DEFAULT CONFIGURATION PARAMETERS (from src/base.py)
======================================================================

[ModelConfig]
  network_type:   mlp
  hidden_dims:    (128, 128)
  n_landmarks:    128
  use_layernorm:  True
  last_scale:     0.01
  activation:     silu
  leaky_slope:    0.01
  softplus_beta:  1
  max_dist:       3.14159

[SolverConfig]
  inner_steps:      2500
  inner_lr:         0.05
  grad_clip:        None
  lr_decay:         False
  tolerance:        1e-06
  min_steps:        1000
  momentum:         0.0
  logsumexp_init:   True
  logsumexp_gamma:  0.1

[TrainingConfig]
  n_steps:        1000
  batch_size:     256
  learning_rate:  0.001
  lr_decay:       False
  lr_decay_alpha: 0.05
  log_every:      1
  eval_every:     None
  eval_size:      1024
  seed:           12345

======================================================================


======================================================================
RUNNING OUR METHOD ON SPHERE
======================================================================

[Ours] Training on S2...
/home/sjbhatt/anaconda3/envs/rcpms-jax/lib/python3.10/site-packages/jax/_src/ops/scatter.py:92: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int64 to dtype=int32 with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
/home/sjbhatt/anaconda3/envs/rcpms-jax/lib/python3.10/site-packages/jax/_src/ops/scatter.py:92: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int64 to dtype=int32 with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
[   130] loss=-0.8499 | res=8.78e-09 | grad=5.55e-01 | 1.1s
[   131] loss=-0.9353 | res=2.75e-05 | grad=6.66e-01 | 1.1s
[   132] loss=-0.8029 | res=9.75e-09 | grad=4.37e-01 | 1.0s
[   133] loss=-0.7575 | res=1.48e-12 | grad=6.96e-01 | 1.1s
[   134] loss=-0.7283 | res=1.42e-05 | grad=7.86e-01 | 1.1s
[   135] loss=-0.8243 | res=6.32e-05 | grad=6.72e-01 | 1.1s
[   136] loss=-0.7337 | res=4.99e-05 | grad=5.43e-01 | 1.1s
[   137] loss=-0.8189 | res=8.75e-09 | grad=4.89e-01 | 1.1s
[   138] loss=-0.8865 | res=1.40e-08 | grad=7.63e-01 | 1.1s
[   139] loss=-0.8086 | res=2.61e-09 | grad=3.63e-01 | 1.1s
[   140] loss=-0.8665 | res=5.75e-09 | grad=4.28e-01 | 1.1s
[   141] loss=-0.7715 | res=1.73e-08 | grad=2.38e-01 | 1.1s
[   142] loss=-0.7999 | res=5.00e-05 | grad=5.57e-01 | 1.1s
[   143] loss=-0.9001 | res=1.12e-08 | grad=2.28e-01 | 1.1s
[   144] loss=-0.8921 | res=1.21e-04 | grad=4.27e-01 | 1.1s
[   145] loss=-0.9227 | res=4.56e-09 | grad=6.65e-01 | 1.1s
[   146] loss=-0.8917 | res=9.13e-05 | grad=4.40e-01 | 1.1s
[   147] loss=-0.7572 | res=2.56e-09 | grad=4.92e-01 | 1.1s
[   148] loss=-0.7865 | res=4.00e-09 | grad=4.45e-01 | 1.1s
[   149] loss=-0.8372 | res=1.79e-04 | grad=3.56e-01 | 1.1s
[   150] loss=-0.7807 | res=4.10e-09 | grad=4.97e-01 | 1.1s
[   151] loss=-0.8457 | res=1.75e-04 | grad=6.37e-01 | 1.1s
[   152] loss=-0.8311 | res=3.16e-09 | grad=2.93e-01 | 1.1s
[   153] loss=-0.7605 | res=2.13e-04 | grad=4.69e-01 | 1.1s
[   154] loss=-0.7125 | res=1.13e-08 | grad=5.62e-01 | 1.1s
[   155] loss=-0.7825 | res=4.00e-09 | grad=6.23e-01 | 1.1s
[   156] loss=-0.8250 | res=3.29e-04 | grad=2.90e-01 | 1.1s
[   157] loss=-0.7713 | res=7.77e-04 | grad=1.69e-01 | 1.1s
[   158] loss=-0.9098 | res=5.73e-09 | grad=4.59e-01 | 1.1s
[   159] loss=-0.7220 | res=1.50e-09 | grad=5.51e-01 | 1.1s
[   160] loss=-0.8624 | res=6.84e-05 | grad=3.91e-01 | 1.1s
[   161] loss=-0.7877 | res=3.44e-04 | grad=1.74e-01 | 1.1s
[   162] loss=-0.8558 | res=2.19e-15 | grad=5.61e-01 | 1.1s
[   163] loss=-0.8174 | res=1.43e-08 | grad=5.21e-01 | 1.1s
[   164] loss=-0.8311 | res=9.27e-05 | grad=4.18e-01 | 1.1s
[   165] loss=-0.8497 | res=2.13e-04 | grad=2.26e-01 | 1.1s
[   166] loss=-0.7373 | res=1.69e-15 | grad=4.93e-01 | 1.1s
[   167] loss=-0.8139 | res=1.26e-04 | grad=5.25e-01 | 1.1s
[   168] loss=-0.8078 | res=2.07e-09 | grad=1.20e-01 | 1.1s
[   169] loss=-0.8363 | res=1.25e-05 | grad=3.53e-01 | 1.1s
[   170] loss=-0.8082 | res=1.45e-08 | grad=4.89e-01 | 1.1s
[   171] loss=-0.8221 | res=5.14e-05 | grad=3.24e-01 | 1.1s
[   172] loss=-0.7712 | res=7.36e-06 | grad=2.30e-01 | 1.1s
[   173] loss=-0.8967 | res=5.50e-05 | grad=6.70e-01 | 1.1s
[   174] loss=-0.7063 | res=8.48e-09 | grad=8.33e-01 | 1.0s
[   175] loss=-0.7806 | res=6.32e-05 | grad=1.69e-01 | 1.1s
[   176] loss=-0.9203 | res=9.11e-09 | grad=4.74e-01 | 1.1s
[   177] loss=-0.8530 | res=5.88e-05 | grad=6.80e-01 | 1.1s
[   178] loss=-0.8168 | res=1.09e-04 | grad=2.13e-01 | 1.1s
[   179] loss=-0.8409 | res=2.92e-05 | grad=3.81e-01 | 1.1s
[   180] loss=-0.8459 | res=1.96e-04 | grad=6.37e-01 | 1.1s
[   181] loss=-0.8252 | res=1.68e-04 | grad=5.70e-01 | 1.1s
[   182] loss=-0.7293 | res=1.33e-08 | grad=5.29e-01 | 1.1s
[   183] loss=-0.8252 | res=1.38e-04 | grad=2.68e-01 | 1.1s
[   184] loss=-0.8237 | res=3.59e-09 | grad=2.83e-01 | 1.1s
[   185] loss=-0.8226 | res=1.63e-15 | grad=4.62e-01 | 1.1s
[   186] loss=-0.8432 | res=6.80e-10 | grad=7.73e-01 | 1.1s
[   187] loss=-0.9239 | res=2.35e-04 | grad=4.80e-01 | 1.1s
[   188] loss=-0.9001 | res=8.48e-09 | grad=4.26e-01 | 1.1s
[   189] loss=-0.8680 | res=3.85e-09 | grad=5.33e-01 | 1.1s
[   190] loss=-0.8228 | res=2.51e-04 | grad=4.96e-01 | 1.1s
[   191] loss=-0.8795 | res=1.11e-08 | grad=2.63e-01 | 1.1s
[   192] loss=-0.8624 | res=2.50e-04 | grad=5.84e-01 | 1.1s
[   193] loss=-0.9040 | res=6.38e-05 | grad=3.97e-01 | 1.1s
[   194] loss=-0.8957 | res=1.07e-04 | grad=4.37e-01 | 1.1s
[   195] loss=-0.8477 | res=8.25e-05 | grad=5.34e-01 | 1.1s
[   196] loss=-0.7938 | res=1.41e-08 | grad=6.77e-01 | 1.1s
[   197] loss=-0.8280 | res=5.12e-05 | grad=5.19e-01 | 1.1s
[   198] loss=-0.6644 | res=1.68e-04 | grad=1.03e+00 | 1.1s
[   199] loss=-0.8613 | res=1.03e-07 | grad=2.87e-01 | 1.1s
[   200] loss=-0.8265 | res=8.16e-05 | grad=2.66e-01 | 1.1s
[   201] loss=-0.8125 | res=6.54e-09 | grad=6.52e-01 | 1.1s
[   202] loss=-0.8741 | res=5.81e-09 | grad=3.95e-01 | 1.1s
[   203] loss=-0.8323 | res=2.96e-09 | grad=5.30e-01 | 1.1s
[   204] loss=-0.8801 | res=1.45e-15 | grad=4.82e-01 | 1.0s
[   205] loss=-0.8174 | res=2.14e-04 | grad=4.76e-01 | 1.1s
[   206] loss=-0.8667 | res=5.05e-05 | grad=7.89e-01 | 1.1s
[   207] loss=-0.8778 | res=2.83e-04 | grad=5.64e-01 | 1.1s
[   208] loss=-0.7593 | res=5.08e-05 | grad=4.78e-01 | 1.1s
[   209] loss=-0.8663 | res=4.50e-09 | grad=4.65e-01 | 1.1s
[   210] loss=-0.7976 | res=7.41e-05 | grad=3.60e-01 | 1.1s
[   211] loss=-0.7472 | res=1.80e-04 | grad=3.69e-01 | 1.1s
[   212] loss=-0.8169 | res=7.42e-05 | grad=7.23e-01 | 1.0s
[   213] loss=-0.9022 | res=6.35e-05 | grad=3.05e-01 | 1.1s
[   214] loss=-0.8159 | res=1.47e-04 | grad=4.96e-01 | 1.1s
[   215] loss=-0.8520 | res=7.72e-09 | grad=3.67e-01 | 1.1s
[   216] loss=-0.8011 | res=2.74e-05 | grad=5.69e-01 | 1.1s
[   217] loss=-0.9199 | res=5.88e-05 | grad=5.10e-01 | 1.1s
[   218] loss=-0.8968 | res=4.56e-10 | grad=4.60e-01 | 1.1s
[   219] loss=-0.9027 | res=1.61e-04 | grad=4.95e-01 | 1.1s
[   220] loss=-0.8229 | res=1.60e-04 | grad=3.25e-01 | 1.1s
[   221] loss=-0.8422 | res=6.04e-05 | grad=5.55e-01 | 1.1s
[   222] loss=-0.8241 | res=4.55e-05 | grad=1.84e-01 | 1.1s
[   223] loss=-0.8731 | res=3.89e-05 | grad=3.76e-01 | 1.1s
[   224] loss=-0.8503 | res=1.40e-04 | grad=1.66e-01 | 1.1s
[   225] loss=-0.8421 | res=2.40e-15 | grad=4.01e-01 | 1.1s
[   226] loss=-0.7865 | res=3.16e-09 | grad=4.74e-01 | 1.1s
[   227] loss=-0.7502 | res=1.53e-08 | grad=5.31e-01 | 1.1s
[   228] loss=-0.9195 | res=1.81e-15 | grad=5.42e-01 | 1.1s
[   229] loss=-0.7334 | res=2.21e-04 | grad=3.56e-01 | 1.1s
