nohup: ignoring input
Running on: [RocmDevice(id=0)]
Running experiments on: torus
Dimensions: [2, 5, 10, 20, 30, 40]
LANDMARK_METHOD = fps (candidates=4096)

======================================================================
DEFAULT CONFIGURATION PARAMETERS (from src/base.py)
======================================================================

[ModelConfig]
  network_type:   mlp
  hidden_dims:    (128, 128)
  n_landmarks:    128
  use_layernorm:  True
  last_scale:     0.01
  activation:     silu
  leaky_slope:    0.01
  softplus_beta:  1
  max_dist:       3.14159

[SolverConfig]
  inner_steps:      2500
  inner_lr:         0.05
  grad_clip:        None
  lr_decay:         False
  tolerance:        1e-06
  min_steps:        1000
  momentum:         0.0
  logsumexp_init:   True
  logsumexp_gamma:  0.1

[TrainingConfig]
  n_steps:        1000
  batch_size:     256
  learning_rate:  0.001
  lr_decay:       False
  lr_decay_alpha: 0.05
  log_every:      1
  eval_every:     None
  eval_size:      1024
  seed:           12345

======================================================================


======================================================================
RUNNING OUR METHOD ON TORUS
======================================================================

[Ours] Training on T2...
/home/sjbhatt/anaconda3/envs/rcpms-jax/lib/python3.10/site-packages/jax/_src/ops/scatter.py:92: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int64 to dtype=int32 with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
/home/sjbhatt/anaconda3/envs/rcpms-jax/lib/python3.10/site-packages/jax/_src/ops/scatter.py:92: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int64 to dtype=int32 with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
[    79] loss=-2.0880 | res=1.16e-02 | grad=5.78e-01 | 1.1s
[    80] loss=-2.2223 | res=7.80e-03 | grad=3.77e-01 | 1.1s
[    81] loss=-2.4501 | res=1.02e-02 | grad=7.35e-01 | 1.1s
[    82] loss=-2.0198 | res=1.33e-02 | grad=9.07e-01 | 1.0s
[    83] loss=-2.3700 | res=1.08e-02 | grad=6.54e-01 | 1.0s
[    84] loss=-2.4875 | res=1.00e-02 | grad=7.91e-01 | 1.1s
[    85] loss=-2.2908 | res=1.36e-02 | grad=4.57e-01 | 1.1s
[    86] loss=-2.2600 | res=1.32e-02 | grad=4.27e-01 | 1.0s
[    87] loss=-2.3444 | res=1.22e-02 | grad=2.58e-01 | 1.1s
[    88] loss=-2.2715 | res=1.48e-02 | grad=2.97e-01 | 1.1s
[    89] loss=-2.2154 | res=1.06e-02 | grad=2.01e-01 | 1.0s
[    90] loss=-2.2914 | res=1.19e-02 | grad=1.56e-01 | 1.0s
[    91] loss=-2.4796 | res=1.36e-02 | grad=4.36e-01 | 1.1s
[    92] loss=-2.1299 | res=1.00e-02 | grad=4.91e-01 | 1.1s
[    93] loss=-2.5506 | res=1.24e-02 | grad=3.75e-01 | 1.1s
[    94] loss=-2.2177 | res=1.02e-02 | grad=2.63e-01 | 1.0s
[    95] loss=-2.1274 | res=1.11e-02 | grad=7.01e-01 | 1.1s
[    96] loss=-2.5085 | res=1.16e-02 | grad=4.87e-01 | 1.1s
[    97] loss=-2.4396 | res=1.19e-02 | grad=2.41e-01 | 1.0s
[    98] loss=-2.1472 | res=9.14e-03 | grad=7.57e-01 | 1.0s
[    99] loss=-2.4294 | res=1.08e-02 | grad=2.31e-01 | 1.1s
[   100] loss=-2.2973 | res=1.46e-02 | grad=1.62e-01 | 1.0s
[   101] loss=-2.2656 | res=8.59e-03 | grad=6.32e-01 | 1.1s
[   102] loss=-2.3874 | res=1.13e-02 | grad=5.47e-01 | 1.1s
[   103] loss=-2.2623 | res=1.11e-02 | grad=4.43e-01 | 1.1s
[   104] loss=-2.4175 | res=1.31e-02 | grad=5.24e-01 | 1.1s
[   105] loss=-2.2782 | res=1.17e-02 | grad=1.68e-01 | 1.1s
[   106] loss=-2.1989 | res=1.14e-02 | grad=6.14e-01 | 1.0s
[   107] loss=-2.3352 | res=1.58e-02 | grad=3.00e-01 | 1.1s
[   108] loss=-2.3320 | res=1.88e-02 | grad=4.35e-01 | 1.1s
[   109] loss=-2.2072 | res=1.60e-02 | grad=4.20e-01 | 1.1s
[   110] loss=-2.2298 | res=1.59e-02 | grad=6.04e-01 | 1.1s
[   111] loss=-2.3128 | res=1.06e-02 | grad=8.59e-01 | 1.1s
[   112] loss=-2.2131 | res=1.57e-02 | grad=8.45e-01 | 1.1s
[   113] loss=-2.3428 | res=1.25e-02 | grad=3.63e-01 | 1.1s
[   114] loss=-2.4660 | res=1.66e-02 | grad=3.81e-01 | 1.1s
