nohup: ignoring input
Setting GPU: 6
Running on: [RocmDevice(id=0)]
Ablations: ['baseline', 'no_logsumexp_init', 'fewer_inner_steps_500', 'more_inner_steps_4000', 'inner_lr_5e-2', 'inner_lr_1e-3', 'logsumexp_gamma_1', 'logsumexp_gamma_0.01', 'logsumexp_gamma_0.001', 'no_adam', 'landmarks_fps', 'landmarks_32', 'landmarks_64', 'landmarks_256', 'hidden_32_32', 'hidden_64_64', 'hidden_256_256', 'hidden_128_128_128', 'lr_1e-4', 'batch_512', 'batch_128']
Manifolds: ['S10']

======================================================================
MANIFOLD: S10
======================================================================

[S10] Ablation: baseline
[   114] loss=-0.2222 | res=4.60e-06 | grad=4.14e-01 | 1.2s
[   115] loss=-0.2081 | res=6.26e-08 | grad=6.75e-01 | 1.2s
[   116] loss=-0.1957 | res=1.20e-05 | grad=6.96e-01 | 1.2s
[   117] loss=-0.2303 | res=6.36e-08 | grad=4.31e-01 | 1.2s
[   118] loss=-0.2102 | res=5.75e-08 | grad=5.46e-01 | 1.2s
[   119] loss=-0.2082 | res=2.19e-06 | grad=6.12e-01 | 1.2s
[   120] loss=-0.2053 | res=9.28e-06 | grad=5.02e-01 | 1.2s
[   121] loss=-0.2211 | res=6.46e-08 | grad=4.50e-01 | 1.2s
[   122] loss=-0.2163 | res=1.49e-06 | grad=5.51e-01 | 1.2s
[   123] loss=-0.2275 | res=4.67e-08 | grad=4.86e-01 | 1.2s
[   124] loss=-0.2165 | res=1.67e-05 | grad=3.86e-01 | 1.2s
[   125] loss=-0.1673 | res=4.51e-05 | grad=8.44e-01 | 1.2s
[   126] loss=-0.2095 | res=7.94e-05 | grad=5.42e-01 | 1.2s
[   127] loss=-0.2370 | res=8.60e-08 | grad=5.66e-01 | 1.2s
[   128] loss=-0.2055 | res=4.29e-07 | grad=4.39e-01 | 1.2s
[   129] loss=-0.2193 | res=1.89e-05 | grad=4.33e-01 | 1.2s
[   130] loss=-0.2250 | res=5.53e-08 | grad=6.79e-01 | 1.2s
[   131] loss=-0.1774 | res=5.40e-06 | grad=7.37e-01 | 1.2s
[   132] loss=-0.2006 | res=7.14e-08 | grad=5.69e-01 | 1.2s
[   133] loss=-0.2036 | res=1.47e-06 | grad=4.18e-01 | 1.2s
[   134] loss=-0.2073 | res=8.12e-08 | grad=5.06e-01 | 1.2s
[   135] loss=-0.2256 | res=5.93e-08 | grad=8.61e-01 | 1.2s
[   136] loss=-0.1837 | res=1.34e-05 | grad=3.50e-01 | 1.2s
[   137] loss=-0.2011 | res=9.96e-06 | grad=4.67e-01 | 1.2s
[   138] loss=-0.2092 | res=6.52e-08 | grad=5.74e-01 | 1.2s
[   139] loss=-0.2280 | res=4.57e-08 | grad=5.44e-01 | 1.2s
[   140] loss=-0.2351 | res=2.75e-06 | grad=8.03e-01 | 1.2s
[   141] loss=-0.2305 | res=2.38e-05 | grad=7.07e-01 | 1.2s
[   142] loss=-0.1799 | res=7.15e-08 | grad=7.49e-01 | 1.2s
[   143] loss=-0.2213 | res=5.93e-08 | grad=7.15e-01 | 1.2s
[   144] loss=-0.2039 | res=7.67e-07 | grad=7.06e-01 | 1.2s
[   145] loss=-0.2362 | res=6.01e-08 | grad=2.78e-01 | 1.2s
[   146] loss=-0.2295 | res=1.28e-06 | grad=4.67e-01 | 1.2s
[   147] loss=-0.2259 | res=6.18e-08 | grad=6.54e-01 | 1.2s
